"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 13:14:14 GMT 2024","Tue Feb 13 13:14:16 GMT 2024","1881","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","userShouldBeForcedToChangePasswordIfItsLeaked","The user should be forced to change password if it's information is leaked",""
"passed","Tue Feb 13 13:13:44 GMT 2024","Tue Feb 13 13:13:45 GMT 2024","856","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","incorrectProjectCodeFormat","Try to create new project with too long project code",""
"passed","Tue Feb 13 13:13:58 GMT 2024","Tue Feb 13 13:14:03 GMT 2024","4992","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","pageNavigationButtonsShouldChangeListOfProjects","Page navigation should work correctly",""
"failed","Tue Feb 13 13:14:22 GMT 2024","Tue Feb 13 13:14:36 GMT 2024","14249","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeRemovedIfItWasDeleted","Project should be removed if it was deleted",""
"passed","Tue Feb 13 13:14:16 GMT 2024","Tue Feb 13 13:14:19 GMT 2024","2811","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeCreated","Create new project",""
"passed","Tue Feb 13 13:13:47 GMT 2024","Tue Feb 13 13:13:50 GMT 2024","2528","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBelongToItsSuite","Test Case should belong to it's test suite",""
"passed","Tue Feb 13 13:13:55 GMT 2024","Tue Feb 13 13:14:01 GMT 2024","6230","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Tue Feb 13 13:13:37 GMT 2024","Tue Feb 13 13:13:40 GMT 2024","3386","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","createdProjectShouldBeDisplayedInProjectsList","Created project displayed in projects list",""
"passed","Tue Feb 13 13:14:06 GMT 2024","Tue Feb 13 13:14:08 GMT 2024","1252","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeLessThen11Characters","Try to create new project with too long project code",""
"passed","Tue Feb 13 13:14:06 GMT 2024","Tue Feb 13 13:14:10 GMT 2024","4171","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Tue Feb 13 13:13:34 GMT 2024","Tue Feb 13 13:13:37 GMT 2024","3421","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","credentialsShouldBeCorrect","Credentials should be correct",""
"failed","Tue Feb 13 13:14:39 GMT 2024","Tue Feb 13 13:14:51 GMT 2024","11732","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldNotBeRemovedIfDeletionConfirmationWasCanceled","Project should not be deleted if deletion confirmation was canceled",""
"passed","Tue Feb 13 13:14:12 GMT 2024","Tue Feb 13 13:14:13 GMT 2024","1048","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeMoreThen1Character","Try to create new project with too short project code",""
"passed","Tue Feb 13 13:14:54 GMT 2024","Tue Feb 13 13:15:00 GMT 2024","6435","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","rowsPerPageDefinesNumberOfProjectsDisplayedOnPage","Rows per page defines number of projects displayed on page",""
"passed","Tue Feb 13 13:14:09 GMT 2024","Tue Feb 13 13:14:13 GMT 2024","3645","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","successfulLogin","Successful login to Qase",""
"passed","Tue Feb 13 13:13:56 GMT 2024","Tue Feb 13 13:14:07 GMT 2024","11311","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","passwordFieldShouldBeMandatory","Password field should be mandatory",""
"passed","Tue Feb 13 13:14:15 GMT 2024","Tue Feb 13 13:14:20 GMT 2024","4549","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Tue Feb 13 13:13:41 GMT 2024","Tue Feb 13 13:13:45 GMT 2024","4481","QaseIO smoke test","Thread #4","tests.TestPlanTest","tests.TestPlanTest","testPlanShouldBeCreated","Test Plan positive creation",""
"passed","Tue Feb 13 13:13:39 GMT 2024","Tue Feb 13 13:13:52 GMT 2024","12897","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailFieldShouldBeMandatory","Email field should be mandatory",""
"passed","Tue Feb 13 13:13:40 GMT 2024","Tue Feb 13 13:13:42 GMT 2024","2725","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBeCreated","Test Case should be created",""
"passed","Tue Feb 13 13:15:05 GMT 2024","Tue Feb 13 13:15:08 GMT 2024","3152","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","sameProjectCodeExists","Try to create new project with existing project code in use",""
"passed","Tue Feb 13 13:13:53 GMT 2024","Tue Feb 13 13:13:54 GMT 2024","1501","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailMustMatchEmailFormat","Email must match email format",""
